type,coin,ex1,ex2,open_diff_pct,close_diff_pct,spread_width_pct,trade24_1,trade24_2,rate1,rate2,net_rate2_minus_rate1,rate_interval1_h,rate_interval2_h,rate_max1,rate_max2,index_diff1_pct,index_diff2_pct
SF,FFUSDT,binance-S,bitget-F,0.09909575126966028,0.19811788013867443,0.09902212886901415,10342203.886867,4303260.0,,0.005,,,4,,1.875,,0.17311880665918025
SF,BILLUSDT,bybit-S,binance-F,0.0985089329691479,0.11193946313833489,0.013430530169186997,1711787775.0,352880838.0,,0.026,,,4,,2.0,,0.09029099188273332
SF,LABUSDT,gate-S,okx-F,0.0981092455054784,0.11877200079181173,0.020662755286333327,60120084.0,576671418.0,,0.005,,,4,,1.5,,-0.04780673696665306
SF,SKYAIUSDT,bitget-S,bitget-F,0.09757255310451642,0.15558456284694303,0.058012009742426617,9710824.0,23732114.0,,0.013,,,4,,2.0,,0.17566224224360683
SF,HUSDT,gate-S,bybit-F,0.09671366951005936,0.15477480266210955,0.0580611331520502,2917711.0,10268391.0,,0.005,,,4,,2.5,,0.07316619953854765
SF,CCUSDT,gate-S,binance-F,0.09548248493166646,0.1850470079092701,0.08956452297760364,1025782.0,29421585.0,,0.005,,,4,,2.0,,0.08896987438949522
SF,EDGEUSDT,htx-S,bybit-F,0.09264868331966337,0.35676061362824785,0.26411193030858443,2889998.0,2992835.0,,0.026,,,4,,2.0,,0.08565921907344334
SF,BASEDUSDT,okx-S,gate-F,0.09264620729588505,0.16209331943962166,0.0694471121437366,4581547.0,1290466.0,,0.005,,0.0,4,,2.0,,0.07304601899195753
SF,BILLUSDT,bitget-S,htx-F,0.09244930361556496,0.2599038087965378,0.16745450518097285,19386242.0,3294479.0,,0.005,,,4,,2.0,,
SF,SKYAIUSDT,htx-S,aster-F,0.09134903515882138,0.32136976932411304,0.23002073416529167,6326746.0,6996512.0,,0.001,,,1,,2.0,,0.0007744934614544886
SF,AIGENSYNUSDT,bitget-S,bybit-F,0.08988982422895742,0.2673471867784639,0.17745736254950653,16128315.0,114342679.0,,0.005,,,4,,2.5,,0.0
SF,HUSDT,bitget-S,okx-F,0.086792461587379,0.16035886340577246,0.07356640181839347,1363465.0,22085554.0,,0.005,,,4,,1.5,,0.15877318669401927
SF,BUSDT,gate-S,aster-F,0.08532867147421336,0.24547024193380926,0.1601415704595959,9253314.0,15796552.0,,0.035,,,4,,2.0,,0.17959662974390497
SF,HUSDT,bybit-S,okx-F,0.08508992457938425,0.16248839368615597,0.07739846910677174,4201447.0,22085554.0,,0.005,,,4,,1.5,,0.15877318669401927
SF,CCUSDT,bybit-S,binance-F,0.08354218880534743,0.11934598400764156,0.035803795202294125,10267943.0,29421585.0,,0.005,,,4,,2.0,,0.08896987438949522
SF,RIVERUSDT,htx-S,okx-F,0.08322021296188915,0.2498344676000189,0.16661425463812973,4314331.0,79868993.0,,0.017,,,4,,1.5,,0.16400164001639422
SF,BLENDUSDT,htx-S,okx-F,0.08193363375665946,0.5744768157570834,0.492543182000424,5909367.0,2629528.0,,0.066,,,4,,1.5,,0.4111842105263161
SF,SAPIENUSDT,binance-S,bybit-F,0.08096867984247837,0.16199101686181117,0.0810223370193328,6568007.59718,4986155.0,,0.005,,,4,,2.5,,0.07364854912357414
SF,TRIAUSDT,bitget-S,okx-F,0.07941317840798166,0.19019950046504994,0.11078632205706826,1527121.0,9556235.0,,0.005,,,4,,1.5,,0.041797283176606324
SF,ZBTUSDT,binance-S,bitget-F,0.07933359777866521,0.23136671624524158,0.15203311846657638,6348992.78049,3297819.0,,0.005,,,4,,2.0,,0.08646471398684272
SF,HYPEUSDT,bitget-S,gate-F,0.07674176396425278,0.10963710119505374,0.03289533723080096,61176374.0,26745673.0,,-0.01,,,4,,2.0,,-0.07446342531756225
SF,BILLUSDT,bybit-S,bybit-F,0.07612906114955038,0.12088920728022576,0.04476014613067537,1711787775.0,96723161.0,,0.005,,,4,,2.5,,0.06271558482282902
SF,BILLUSDT,htx-S,binance-F,0.07432048245633649,0.2563022574314164,0.1819817749750799,21705869.0,352880838.0,,0.026,,,4,,2.0,,0.09029099188273332
SF,FFUSDT,htx-S,bitget-F,0.07431260837254225,0.3469640644361693,0.272651456063627,1515021.0,4303260.0,,0.005,,,4,,1.875,,0.17311880665918025
SF,BLENDUSDT,htx-S,gate-F,0.07374329140891207,0.5417384880571352,0.4679951966482231,5909367.0,4743098.0,,0.005,,,4,,2.0,,0.25647770616861176
SF,RIVERUSDT,bitget-S,bitget-F,0.07369699616502463,0.16924168804935866,0.09554469188433404,8714196.0,21956445.0,,0.011,,,4,,2.1,,0.002845792742990059
SF,RIVERUSDT,bitget-S,bybit-F,0.07369699616502463,0.14196401758170615,0.06826702141668153,8714196.0,29184102.0,,0.019,,,4,,2.0,,0.01366306872524025
SF,USELESSUSDT,gate-S,binance-F,0.07276431637923961,0.17459624618072017,0.10183192980148056,1325246.0,21072512.0,,0.005,,,4,,2.0,,-0.032557745528487385
SF,HUSDT,bitget-S,bybit-F,0.07132695207247693,0.14102885287827113,0.0697019008057942,1363465.0,10268391.0,,0.005,,,4,,2.5,,0.07316619953854765
SF,OPGUSDT,gate-S,bitget-F,0.07049700387732745,0.1762735765908692,0.10577657271354174,1822923.0,4990919.0,,0.005,,,4,,2.0,,0.15242537568813994
SF,OPGUSDT,gate-S,bybit-F,0.07049700387732745,0.1762735765908692,0.10577657271354174,1822923.0,5228903.0,,0.005,,,4,,2.5,,0.035248501938663725
SF,OPGUSDT,htx-S,binance-F,0.07047216349541155,0.6001765225066319,0.5297043590112204,5607267.0,18893190.0,,0.005,,,4,,2.0,,0.1056482806194235
SF,HUSDT,bybit-S,bybit-F,0.06962441496151837,0.14315838347100326,0.07353396850948488,4201447.0,10268391.0,,0.005,,,4,,2.5,,0.07316619953854765
SF,BSBUSDT,bybit-S,binance-F,0.06704338664878902,0.17007821202284998,0.10303482537406096,3082875.0,22788880.0,,0.005,,,4,,2.0,,0.20811513766366324
SF,KITEUSDT,binance-S,bybit-F,0.06623456498083986,0.11830119484206802,0.052066629861228154,15107086.86111,15621783.0,,0.005,,,4,,2.0,,0.06627532664268189
SF,CCUSDT,gate-S,okx-F,0.06565400340207048,0.1969737666756182,0.13131976327354772,1025782.0,12496817.0,,0.015,,,4,,1.5,,0.1314374477237412
SF,ORDIUSDT,okx-S,htx-F,0.06380942252472856,0.10634903754120799,0.04253961501647943,1886701.0,1896916.0,,0.005,,0.0,4,,2.0,,
SF,NEARUSDT,bybit-S,htx-F,0.06351222610351794,0.19053667831058202,0.1270244522070641,4605777.0,1043424.0,,0.01,,,8,,2.0,,
SF,PAXGUSDT,binance-S,gate-F,0.0627726008420305,0.06515299590140704,0.002380395059376546,16351996.028547,2940092.0,,0.0,,,8,,0.02,,0.04243122245217907
SF,PAXGUSDT,okx-S,gate-F,0.0627726008420305,0.07576331540268202,0.01299071456065153,1391204.0,2940092.0,,0.0,,0.0,8,,0.02,,0.04243122245217907
SF,BILLUSDT,bybit-S,bitget-F,0.06269873258990606,0.12088920728022576,0.05819047469031969,1711787775.0,63815034.0,,0.005,,,4,,2.0,,0.0001809751931458274
SF,RIVERUSDT,bitget-S,binance-F,0.06005350221105415,0.12832238952671285,0.0682688873156587,8714196.0,141862882.0,,0.016,,,4,,2.0,,-0.01739073621331729
SF,CCUSDT,okx-S,binance-F,0.05966587112171181,0.15517755893762009,0.09551168781590828,2418124.0,29421585.0,,0.005,,0.0,4,,2.0,,0.08896987438949522
SF,USELESSUSDT,gate-S,bybit-F,0.05821568912821769,0.10188487009679154,0.04366918096857385,1325246.0,7878051.0,,0.005,,,4,,4.0,,-0.014562399883495157
SF,BASEDUSDT,bybit-S,gate-F,0.057893822729108424,0.18527095877722022,0.1273771360481118,2607401.0,1290466.0,,0.005,,,4,,2.0,,0.07304601899195753
SF,NEARUSDT,gate-S,htx-F,0.057159188339519294,0.18417960687181256,0.1270204185322933,7061942.0,1043424.0,,0.01,,,8,,2.0,,
SF,BNBUSDT,htx-S,binance-F,0.057093083685283354,0.06734302487298853,0.010249941187705171,8277354.0,451817130.0,,0.009,,,8,,0.375,,0.04415884323300529
SF,BEATUSDT,gate-S,bitget-F,0.05505281629565048,0.22021884247470028,0.16516602617904977,3206306.0,2288092.0,,-0.043,,,4,,2.0,,-0.40014855438660485
SF,HYPEUSDT,bybit-S,gate-F,0.05480953685941043,0.08770006577504746,0.03289052891563703,67868109.0,26745673.0,,-0.01,,,4,,2.0,,-0.07446342531756225
SF,BASUSDT,gate-S,bitget-F,0.05396030063596117,0.2465236316012407,0.1925633309652795,1648557.0,1544980.0,,0.005,,,4,,2.0,,0.09108612213238439
SF,CCUSDT,bybit-S,okx-F,0.0537137059473049,0.13127274897070113,0.07755904302339621,10267943.0,12496817.0,,0.015,,,4,,1.5,,0.1314374477237412
SF,BILLUSDT,htx-S,bybit-F,0.0519406086006506,0.26525198938992456,0.21331138078927395,21705869.0,96723161.0,,0.005,,,4,,2.5,,0.06271558482282902
SF,BEATUSDT,gate-S,gate-F,0.051612903225819864,0.1548920058514778,0.10327910262565795,3206306.0,1218248.0,,0.01,,,8,,2.0,,0.034411562284923945
SF,BEATUSDT,htx-S,binance-F,0.051568543188649237,2.6810584958217216,2.6294899526330724,2313697.0,15204576.0,,0.005,,,4,,2.0,,0.11721111428931826
SF,BEATUSDT,htx-S,bybit-F,0.051568543188649237,2.7119706174171943,2.660402074228545,2313697.0,3984215.0,,0.005,,,4,,2.0,,0.02062493554707796
SF,BEATUSDT,htx-S,okx-F,0.051568543188649237,2.6638809088534834,2.612312365664834,2313697.0,17417558.0,,0.005,,,4,,1.5,,-0.0017184788025752283
